;players;;;win;;score;game of (excl 2points gap);date;;
;(will);(phil);;(1)/(0) *selon le joueur de gauche;;(11-6);(11);(2024-03-12);;ERREUR?
;V;X;;1;7;4;7;2024-05-14;;
;P;V;;1;7;4;7;2024-05-14;;
;É;P;;1;7;6;7;2024-05-14;;
;É;X;;1;7;4;7;2024-05-14;;
;É;V;;1;7;2;7;2024-05-14;;
;P;É;;1;7;1;7;2024-05-14;;
;P;X;;1;7;2;7;2024-05-14;;
;P;V;;1;7;3;7;2024-05-14;;
;É;P;;1;7;5;7;2024-05-14;;
;É;X;;1;7;6;7;2024-05-14;;
;É;V;;1;7;4;7;2024-05-14;;
;É;P;;1;7;3;7;2024-05-14;;
;É;X;;1;7;6;7;2024-05-14;;
;É;V;;1;7;5;7;2024-05-14;;
;P;É;;1;7;6;7;2024-05-14;;
;P;X;;1;7;2;7;2024-05-14;;
;P;X;;1;3;2;3;2024-05-14;;
;P;V;;1;7;4;7;2024-05-14;;
;X;V;;1;11;7;11;2024-05-16;;
;V;X;;1;11;1;11;2024-05-16;;
;V;X;;1;11;4;11;2024-05-16;;
;X;V;;1;11;9;11;2024-05-16;;
;V;X;;1;11;9;11;2024-05-16;;
;W;X;;1;13;11;11;2024-05-16;;
;W;X;;1;11;7;11;2024-05-16;;
;W;X;;1;3;1;3;2024-05-16;;
;W;X;;1;3;1;3;2024-05-16;;
;W;X;;1;3;0;3;2024-05-16;;
;W;X;;1;3;1;3;2024-05-16;;
;V;J;;1;7;2;7;2024-05-15;;
;W;V;;1;7;5;7;2024-05-15;;
;X;É;;1;7;2;7;2024-05-15;;
;X;J;;1;7;2;7;2024-05-15;;
;X;V;;1;7;2;7;2024-05-15;;
;W;X;;1;7;2;7;2024-05-15;;
;W;É;;1;7;6;7;2024-05-15;;
;V;J;;1;7;1;7;2024-05-15;;
;X;V;;1;7;6;7;2024-05-15;;
;É;X;;1;7;4;7;2024-05-15;;
;É;W;;1;7;6;7;2024-05-15;;
;É;J;;1;7;1;7;2024-05-15;;
;É;V;;1;7;2;7;2024-05-15;;
;É;X;;1;7;6;7;2024-05-15;;
;W;É;;1;7;3;7;2024-05-15;;
;W;X;;1;7;4;7;2024-05-15;;
;X;V;;1;5;1;5;2024-05-16;;
;X;V;;1;5;3;5;2024-05-16;;
;V;X;;1;5;0;5;2024-05-16;;
;X;V;;1;5;1;5;2024-05-16;;
;X;V;;1;6;4;5;2024-05-16;;
;X;V;;1;6;4;5;2024-05-16;;
;X;V;;1;5;1;5;2024-05-16;;
;P;V;;1;7;4;7;2024-05-21;;
;V;X;;1;9;7;7;2024-05-21;;
;X;P;;1;11;10;7;2024-05-21;;
;É;P;;1;6;4;5;2024-05-21;;
;W;É;;1;5;2;5;2024-05-21;;
;W;V;;1;5;2;5;2024-05-21;;
;P;X;;1;5;2;5;2024-05-21;;
;P;É;;1;5;0;5;2024-05-21;;
;V;P;;1;5;2;5;2024-05-21;;
;V;X;;1;5;2;5;2024-05-21;;
;W;V;;1;5;2;5;2024-05-21;;
;W;É;;1;5;2;5;2024-05-21;;
;W;P;;1;5;3;5;2024-05-21;;
;X;É;;1;5;0;5;2024-05-21;;
;P;X;;1;5;1;5;2024-05-21;;
;P;V;;1;7;6;7;2024-05-21;;
;W;P;;1;6;4;5;2024-05-21;;
;W;É;;1;5;2;5;2024-05-21;;
;W;X;;1;5;1;5;2024-05-21;;
;P;V;;1;5;0;5;2024-05-21;;
;P;É;;1;5;1;5;2024-05-21;;
;P;X;;1;5;3;5;2024-05-21;;
;W;P;;1;6;4;5;2024-05-21;;
;É;V;;1;5;1;5;2024-05-21;;
;É;V;;1;9;7;5;2024-05-21;;
;É;V;;1;7;5;5;2024-05-21;;
;É;V;;1;5;2;5;2024-05-21;;
;É;V;;1;5;0;5;2024-05-21;;
;V;É;;1;8;6;5;2024-05-21;;
;V;W;;1;5;2;5;2024-05-21;;
;É;V;;1;5;2;5;2024-05-21;;
;W;É;;1;7;5;5;2024-05-21;;
;V;X;;1;7;5;7;2024-05-23;;
;V;X;;1;7;3;7;2024-05-23;;
;V;X;;1;7;5;7;2024-05-23;;
;V;X;;1;9;7;7;2024-05-23;;
;V;X;;1;7;5;7;2024-05-23;;
;É;V;;1;7;1;7;2024-05-23;;
;W;É;;1;9;7;7;2024-05-23;;
;W;X;;1;7;4;7;2024-05-23;;
;W;V;;1;7;4;7;2024-05-23;;
;W;É;;1;7;3;7;2024-05-23;;
;W;X;;1;7;2;7;2024-05-23;;
;É;V;;1;7;2;7;2024-05-23;;
;É;X;;1;7;4;7;2024-05-23;;
;É;W;;1;7;5;7;2024-05-23;;
;É;V;;1;8;6;7;2024-05-23;;
;É;X;;1;7;1;7;2024-05-23;;
;É;W;;1;7;3;7;2024-05-23;;
;É;V;;1;10;8;7;2024-05-23;;
;É;X;;1;7;4;7;2024-05-23;;
;W;É;;1;8;6;7;2024-05-23;;
;X;V;;1;8;6;7;2024-05-23;;
;W;X;;1;7;3;7;2024-05-23;;
;É;W;;1;7;4;7;2024-05-23;;
;É;V;;1;7;3;7;2024-05-23;;
;É;X;;1;7;4;7;2024-05-23;;
;W;É;;1;7;2;7;2024-05-23;;
;W;V;;1;8;6;7;2024-05-23;;
;X;W;;1;8;6;7;2024-05-23;;
;É;X;;1;7;3;7;2024-05-23;;
;É;V;;1;7;3;7;2024-05-23;;
;X;V;;1;8;6;7;2024-05-23;;
;É;X;;1;7;3;7;2024-05-23;;
;É;W;;1;8;6;7;2024-05-23;;
;É;V;;1;11;8;11;2024-05-23;;
;W;X;;1;7;1;7;2024-05-23;;
;É;W;;1;7;5;7;2024-05-23;;
;É;V;;1;8;6;7;2024-05-23;;
;É;X;;1;7;1;7;2024-05-23;;
;V;X;;1;11;8;11;2024-05-23;;
;A;W;;1;9;7;5;2024-05-30;;
;A;G;;1;5;3;5;2024-05-30;;
;A;P;;1;5;2;5;2024-05-30;;
;W;A;;1;5;1;5;2024-05-30;;
;P;G;;1;5;1;5;2024-05-30;;
;W;P;;1;5;2;5;2024-05-30;;
;W;A;;1;5;1;5;2024-05-30;;
;W;G;;1;5;3;5;2024-05-30;;
;P;W;;1;5;3;5;2024-05-30;;
;P;A;;1;5;3;5;2024-05-30;;
;JT;LG;;1;12;10;12;2024-06-04;;
;É;P;;1;5;2;5;2024-06-06;;
;É;J;;1;5;0;5;2024-06-06;;
;É;W;;1;5;2;5;2024-06-06;;
;É;P;;1;5;2;5;2024-06-06;;
;É;J;;1;5;2;5;2024-06-06;;
;É;W;;1;6;4;5;2024-06-06;;
;P;J;;1;5;1;5;2024-06-06;;
;W;P;;1;9;7;5;2024-06-06;;
;W;É;;1;5;2;5;2024-06-06;;
;W;J;;1;5;0;5;2024-06-06;;
;W;P;;1;7;5;5;2024-06-06;;
;W;É;;1;5;0;5;2024-06-06;;
;P;J;;1;5;1;5;2024-06-06;;
;P;É;;1;5;0;5;2024-06-06;;
;P;W;;1;5;3;5;2024-06-06;;
;P;J;;1;5;2;5;2024-06-06;;
;P;É;;1;5;3;5;2024-06-06;;
;P;W;;1;5;2;5;2024-06-06;;
;P;J;;1;5;1;5;2024-06-06;;
;É;P;;1;5;2;5;2024-06-06;;
;É;W;;1;8;6;5;2024-06-06;;
;É;J;;1;5;0;5;2024-06-06;;
;P;É;;1;5;3;5;2024-06-06;;
;P;W;;1;5;1;5;2024-06-06;;
;P;J;;1;5;1;5;2024-06-06;;
;É;P;;1;2;0;2;2024-06-06;;
;V;X;;1;7;2;7;2024-06-13;;
;V;X;;1;7;3;7;2024-06-13;;
;V;X;;1;8;6;7;2024-06-13;;
;É;V;;1;7;5;7;2024-06-13;;
;É;X;;1;7;5;7;2024-06-13;;
;É;V;;1;7;3;7;2024-06-13;;
;X;V;;1;8;6;7;2024-06-13;;
;V;X;;1;9;7;7;2024-06-13;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
